 4564  4566  20.531720 -26.893098  20.541350 -26.906370 -0.0594 -0.2242 -0.0439 -0.2326  8.76  1.72 14.95  3.86 121 555 1  0.0176   56.9 147.1 2 0
 4615  4616  20.811280  -2.157500  20.815320  -2.145890  0.2423  0.0446  0.2396  0.0345 17.13  0.66 12.44  3.13 555 555 3  0.0105   44.3  19.2 2 0
 4625  4626  20.828700 -21.069260  20.829690 -21.070040  0.0116 -0.1680  0.0116 -0.1680 16.13  1.66 13.90  0.88 576 555 2  0.0000    4.0 130.0 2 0
 4656  4676  20.960090 -29.531890  21.006890 -29.548840  0.2366  0.0171  0.2366  0.0171 18.86  5.16 14.93  3.83 576 555 6  0.0570  158.8 112.6 2 0
 4694  4695  21.122430 -28.635160  21.122430 -28.635160  0.2873  0.0398  0.2873  0.0398 16.13  4.38 16.54  4.79 566 566 1  0.0000    3.5  94.0 2 0
 4713  4714  21.197880 -26.254420  21.198324 -26.255692 -0.0874 -0.3837 -0.0874 -0.3837 13.47  4.79 10.73  2.71 576 222 1  0.0000    6.0 160.0 2 0
 4800  4801  21.523820 -32.099320  21.524831 -32.100684  0.1917 -0.0250  0.1917 -0.0250 14.04  2.90 10.68  1.36 576 222 1  0.0000    5.0 223.0 2 0
 4814  4817  21.725560  12.001880  21.729866  12.007198 -0.0108 -0.3643 -0.0139 -0.3594 16.61  2.88 11.12  0.89 555 222 2  0.0058   24.4  38.4 2 1
 4827  4833  21.756444  -0.157586  21.806290  -0.154010  0.2983 -0.3578  0.3004 -0.3547  7.96  1.37 15.07  4.00 121 555 1  0.0037  179.9  85.9 2 0
 4884  4885  22.110160  26.905720  22.110160  26.905720  0.1579 -0.0977  0.1579 -0.0977 15.53  3.50 15.53  3.50 555 555 1  0.0000    2.0  95.0 2 0
 4888  4889  22.052680 -16.241440  22.056800 -16.241730 -0.0384 -0.2274 -0.0296 -0.2271 13.99  3.27 12.46  2.76 555 555 1  0.0088   14.3  94.2 2 0
 4991  4993  22.729930  52.745210  22.735760  52.750360 -0.1849 -0.0335 -0.1778 -0.0221 10.23  1.72 13.94  3.18 222 555 1  0.0134   22.5  34.4 2 0
 5102  5103  23.119450  14.288240  23.119550  14.285413  0.1494 -0.1716  0.1494 -0.1716 17.37  4.70 11.52  2.20 576 111 1  0.0000    9.5 179.0 2 0
 5127  5133  23.231820  19.923480  23.238430  19.899420  0.2073  0.0444  0.2040  0.0375 17.87  5.07 13.30  3.85 555 555 1  0.0076   89.5 165.5 2 0
 5135  5136  23.150450 -27.744140  23.156920 -27.740960  0.1303 -0.1329  0.1303 -0.1329 19.04  4.91 16.04 -0.33 576 555 3  0.0134   23.6  61.0 2 0
